query	alternative query	main passage	citation
如何完善沟通的方法技巧？	哪些技巧可以用来进步沟通技巧？	专注倾听沟通是对话双方观念、情感的交互传递，而 不是单向的信息输出，亲子沟通时，专注倾听是 必不可少的一项沟通素质。目光追随、面带微 笑、及时答问等，都是专注倾听的表现。专注 的倾听姿态，能够向孩子传递积极接纳的信号， 让他们感受到自己被关注，既能满足孩子被倾 听的心理需要，也能让家长完整获取孩子传递的内容。	郭彦华. 家庭教育中的亲子沟通问题与反思 [J]. 婚姻家庭. 2021 (341)
什么是超限效应？	超限效应的定义是什么？	时间久了，无论话语多么动听感人，再耐心的人也 会心生厌烦。这种现象被心理学家 称为超限效应。 一个例子则是著名作家马克·吐温有一次在教堂里听牧师演讲。最初，他觉得 牧师讲得很感人，就准备捐款，并 掏出身上的所有钱。十分钟后，牧师还没有讲完，他就不耐烦了，决 定只捐些零钱。又过了 10 分钟，牧师仍在讲，于是他决定一分钱也不捐了。 	"[1]曹新燕,谭远敬.“超限效应”的教育启示[J].教学与管理,2015(08):20."
超限效应会在生活中造成什么结果？ 		"新学期，我担任三年级班主 任。做了多年的五年级班主任，忽 然面对刚从二年级升上来的孩子， 我有些不知所措了。每天的语文作 业都会有十个八个同学画成了“虾 兵蟹将”，还有一半以上同学照抄 还有错字，数学老师、英语老师每 天都会向我反映某某同学的作业 一 塌糊涂 ， 某 某 同 学 上 课 做 小 动 作 ......我一个头两个大。于是， 每天我都不忘进行批评教育，还利 用军训时间反复进行思想教育，可 就是不见一点儿效果。 抱怨过，愤懑过，失望过。当倍感无助的时候，我猛地意识到:一 定是哪里出错了!很庆幸自己已考 取国家三级心理咨询师，所以第一 时间我想到了心理学，想到了《教育中的心理效应》这本弥足珍贵的书。伴着悠悠墨香，我的目光驻足 31 页——超限效应。是啊，批评频 率那么高，早就超限了，何况我面 对的是不足十岁的孩子啊! 
"	"[1]曹新燕,谭远敬.“超限效应”的教育启示[J].教学与管理,2015(08):20."
如何用超限效应鼓励孩子？	超限效应鼓励孩子有结果吗？	恰逢学校组织队列比赛，我 们班级还获得了第一名的好成绩。 我紧抓这一时机，鼓励孩子们:“因 为我们付出了努力，因为我们在军 训中严格要求自己，因为我们有团 队精神，所以我们获得了第一名。 只要我们有信心，用军训中的精神 要求自己，那么我们的班级一定能 成为强大的集体”。随后，我强调学 习要求，要求孩子们从规范作业做 起，每天各科作业完成后必须认真 检查......孩子们第一次全部耐心 地倾听我的教诲，没有一个人做小 动作。 意想不到的事情发生了。语文 作业本上每个孩子的字迹都是那 么工工整整、认认真真。我心里别 提多高兴了!于是，语文课上，我表扬了书写美观的同学，让他们到台 前展示作业，让全班观摩学习。孩 子们露出了甜甜的笑容。那一刻， 奇妙的心理学就是魔法师，把孩子 们 的 懒 散 、马 虎 变 没 了 ，变 出 了 认 真的学习态度，还有积极的学习热 情。连数学老师也表示，孩子们的 作业做得明显比以前认真，正确率 提高了。 	"[1]曹新燕,谭远敬.“超限效应”的教育启示[J].教学与管理,2015(08):20."
对孩子经常表扬为什么没有效果？		"适意与改变不是恒久的，随着时 间的推移，热情会变淡，一些孩子 会一如从前。如果一味地采用表扬 的方法，必将再次尝到“超限”的苦 果。时间久了，无论 话语多么动听感人，再耐心的人也 会心生厌烦。这种现象被心理学家 称为超限效应。为了避免超限效应酿苦果，应该“适可而止” 如果我能运用心理学的知识储 备，不断变换方法，常出新招，那么 一定能维持良好的教育效果。 
"	"[1]曹新燕,谭远敬.“超限效应”的教育启示[J].教学与管理,2015(08):20."
孩子缺乏沟通会引起哪些问题？	孩子和我不沟通有问题吗？	"子女与父母发生不愉快的情 况后，会出现愤怒、低落、压抑等负性情绪，没有良 好的心理状态，即使和家人待在一起也会感到孤 独。由于长时间宅家，无法正常工作、开展社交，这种消极情 绪可能会继续加重，引起内分泌紊乱、失调等生理上的不良 反应。这种身心欠佳的状态，更有可能同时出现在双方身上。 
"	"[1]马明洋.亲子沟通的技巧[J].心理与健康,2020(06):70-71."
孩子和我不沟通的影响大吗？	孩子不沟通的长久影响是什么？	"子女从小到大与父母共同生 活，不仅会在父母影响下形成自己的基本人格、 价值观念等，也会产生自己教育下一代的理念 方法等。如果与父母的关系一直协调不好，就有可能将对 父母的情绪态度转移过来，把与父母的沟通方式运用到 下一代身上，尤其是与下一代出现矛盾时更容易出现处理不当的情况。 

"	"[1]马明洋.亲子沟通的技巧[J].心理与健康,2020(06):70-71."
孩子在成长过程中有什么特点？ 		"子女与父母在学历层次、年龄阶段、生活经历、性格特 点等方面存在差异，形成了不同的价值观念和思维方式，对 同一事件的评价会有一定程度的不同，进而会降低沟通效 果。例如，处于成年期早期的子女，更希望自己从“依附”中 获得“独立”，对父母的“权威性”意见构成挑战，可能做出 与父母预期不一致的言行 
"	"[1]马明洋.亲子沟通的技巧[J].心理与健康,2020(06):70-71."
家庭冲突发生的原因有什么？ 		"性格急躁的父母说话时更 加果断、容易冲动，发现子女的意见与自己相差较大时就会 打断对话、想要“纠正”，反而会引起子女的反感情绪。 
"	"[1]马明洋.亲子沟通的技巧[J].心理与健康,2020(06):70-71."
父母之间矛盾会怎么影响子女？	孩子偏爱一方家长会有什么问题？ 	如果子女与父母一方关系 过于亲近，与另一方过于疏远，子女会对疏远的一方产生排 斥心理、甚至敌意，也更懒于相互沟通。 	"[1]马明洋.亲子沟通的技巧[J].心理与健康,2020(06):70-71."
用专横的态度和子女沟通为什么没有效果？ 		"的父母对子女具有明 显的心理优势，认为沟通就是为了让子女听话，习惯用自己 的经验开展教导、用控制的方式进行交谈，结果却使子女 逐渐降低了对父母的依赖。再如，有的子女觉得父母已进 入老年阶段，跟不上形势，不能准确领会自己的语意，因而 在与父母说话时会表现出不耐烦的态度。 
"	"[1]马明洋.亲子沟通的技巧[J].心理与健康,2020(06):70-71."
如何处理和孩子之间沟通的问题？		"尊重和理解是家人沟通的前 提，也是建立和谐家庭的基础。首先，要找准自 己的角色定位，遵守家庭内部的良好规则， 保持敬重、谦逊的态度，主动关心需求，不能以自己为中心其次要学会倾听、善于倾听，耐心听取子女发表他们的想法，不要表现出不满态度。  
"	"[1]马明洋.亲子沟通的技巧[J].心理与健康,2020(06):70-71."
子女对家长不满的想法一般有哪些？		"父母明明一点儿教育经验都没有，却要求我必须按照他们说的去做，说什么都是为了 我好，还不接受反驳，否则我就变成了不识好歹 的不孝子......”“在家上网课防我像防贼一样，对 电脑钉钉各种锁定限时，只要看到用手机不管为 什么直接收走，一顿批评教育，不容置疑。” 
"	"[1]孔翠.疫情居家期间亲子冲突的心理应对[J].中小学心理健康教育,2020(15):79-80."
孩子在成长阶段对他么心里有什么影响？	青春期对孩子的影响是什么？	"中高学 段的孩子正处于青春期，他们正是最需要维护自身界限感的时候，他们对“自主空间”的渴望和需 求最强烈。可惜，很多家长不太了解这个阶段孩 子的心理特点，逾越了“心理界限”，于是亲子冲 突便产生了。 
"	"[1]孔翠.疫情居家期间亲子冲突的心理应对[J].中小学心理健康教育,2020(15):79-80."
如何尊重孩子的心里界限？		"家长不 仅需要让步，还要有允许孩子犯错的勇气和魄力， 不要总是以过来人的身份通过讲大道理的方式来 企图改变孩子的认知。成长路上没有捷径，犯错或 许就是唯一的捷径。允许孩子有自己的亲身体验， 允许孩子试错，这样成长起来的孩子具有较强的心 理弹性和耐挫力。 
"	"[1]孔翠.疫情居家期间亲子冲突的心理应对[J].中小学心理健康教育,2020(15):79-80."
非暴力沟通法的步骤是什么	如何非暴力沟通	"“非暴力沟通法”，它有四个表达步骤，分别是:(1)观察:保持客观的观察，不作任何评价;(2)感受:体会自己和他人此刻内心的感受，并说出自己 的感受;(3)需要:通过感受找到问题的根源，也就 是沟通的目的;(4)请求:找到问题的根源后，明确、 具体地提出请求。 

"	"[1]孔翠.疫情居家期间亲子冲突的心理应对[J].中小学心理健康教育,2020(15):79-80."
非暴力沟通法的例子是什么		"举个例子，父母一般在看到孩子坐在电脑前很 长时间叫吃饭也没反应的情境下会发火训斥，结果 双方不欢而散。采用非暴力沟通则可以有效避免冲 突，例如，(1)观察:“我看你今天上午坐在电脑 前有三四个小时了，刚才喊你吃午饭，喊了三遍你 也 没 有 抬 头，只 是‘嗯 嗯’地 回 答。”(2)感 受:“我 心里感觉既伤心又愤怒。”(3)需要:“我希望得 到你的尊重，也希望你能够有节制地使用电脑，合 理安排好休闲和学习时间。”(4)请求:“下次我 叫你的时候，你可以抬头看着我回答吗?”如果家 长采用这样的方式和孩子沟通，相信孩子很难和家 长产生冲突，他会反思自身存在的问题，或许也会 和家长有深层次的沟通。 
"	"[1]孔翠.疫情居家期间亲子冲突的心理应对[J].中小学心理健康教育,2020(15):79-80."
亲自矛盾常见吗？		"调查问卷显示，94% 的子女承认和父母发生过 矛盾，另外 6% 不代表没有矛盾，70% 因缺乏自由 活动空间、不被理解、受罚责骂而烦心。由此可见， 亲子冲突的发生具有普遍性，而冲突的背后是子女 在争夺属于自己的空间和自主权 
"	"[1]孔翠.疫情居家期间亲子冲突的心理应对[J].中小学心理健康教育,2020(15):79-80."
亲子冲突的影响是坏的吗？	亲子冲突正常吗？	"冲突表面是 糟糕的矛盾、不和谐，但凡事各有利弊，这也是冲 突背后的价值和意义，它的心理意义是亲子双方通 过矛盾冲突来间接表达自己的“心理界限”，愤怒 是表达界限的重要方式 
"	"[1]孔翠.疫情居家期间亲子冲突的心理应对[J].中小学心理健康教育,2020(15):79-80."
心里界限的重要性		"个隐形的“心理界限”，这个界限是每个家庭最 终成型的沟通模式。当我们能够从这个角度重新建 构亲子冲突的积极意义时，我们就会降低对亲子冲 突的排斥抵触情绪，从积极的心理视角看待问题， 这也是短期焦点解决的重要方法。 
"	"[1]孔翠.疫情居家期间亲子冲突的心理应对[J].中小学心理健康教育,2020(15):79-80."
亲子矛盾的导火索是什么？		"从冲突矛盾原因看:网络在线学习不认真、 不能按要求完成老师布置的教学任务、沉迷网 络游戏及无法出门等是家庭亲子矛盾冲突的主 要导火索。 
"	"[1]郭学东.疫情防控期间家庭亲子冲突成因及对策初探[J].教育实践与研究(C),2020(05):54-56."
心里健康是什么意思？		"心理健康是指个体在适应环境的过程中， 生理、心理和社会性方面达到协调一致，保持一 种良好的心理功能状态。当其中之一发生变化 时即产生心境扰动。 
"	"[1]郭学东.疫情防控期间家庭亲子冲突成因及对策初探[J].教育实践与研究(C),2020(05):54-56."
亲子沟通冲突事件的加剧过程是怎么样的？		"疫期家庭环境固有认知和生活习惯发生变 化——家庭功能向“教室”功能转化，即由舒适 放松情景转向严格作息的学习、被“监控”情景， 导致原有协调被打破，虽然不会产生阻抗，但潜 意识存在对立冲突，特别是和父母及多角色(教 师、任务监督者、审查者)交集，逐渐形成压力和 冲突，加之个体心理韧性水平较低，且面对逆境 和问题困扰时不能及时获取相关支持，并随着 时间推移、冲突事件的频发造成持续压力进而 爆发亲子冲突。 
"	"[1]郭学东.疫情防控期间家庭亲子冲突成因及对策初探[J].教育实践与研究(C),2020(05):54-56."
青少年不成熟的沟通特点有什么？		"Paikof(f 1991)等人从认知发展的角度指出 的，青少年容易表现出一种对自我、他人和环境 从分布区域来看:城市主城区为高发区域。 的过于理想化的观点，冲突很可能是因为归因 
"	"[1]郭学东.疫情防控期间家庭亲子冲突成因及对策初探[J].教育实践与研究(C),2020(05):54-56."
亲子沟通不当是一方面的错误吗？		"家庭系统理论认为，亲子冲突是一个多人 系统的问题，而不是父母或子女单方面的问题。 亲子冲突的来源既可能是因为家庭成员系统功 能的缺失，也可能是由于不恰当的人际关系界 限，还可能是因为家庭成员防御性的沟通风格 等导致。 
"	"[1]郭学东.疫情防控期间家庭亲子冲突成因及对策初探[J].教育实践与研究(C),2020(05):54-56."
不锻炼对孩子的心里影响是怎么样的？		"在长达一个多月的疫情防控阶段，作为能 独立思考、自我意识逐渐清晰的中小学生而言， 其对同伴(社会)交往、课外娱乐、户外运动、体 育锻炼等主观诉求实属正常需要，甚至是身体 的需要。然而疫情期间，宅家抗疫的现实情景不 允许或者一定程度上阻隔了基于生理和心理的 正常需求，特别是青春期个体“力比多”需求无 法被满足，即产生压抑，会因外界的压力而产生 对立和冲突，亲子冲突为主要表象。 
"	"[1]郭学东.疫情防控期间家庭亲子冲突成因及对策初探[J].教育实践与研究(C),2020(05):54-56."
疫情如何影响亲子沟通？		"疫期防控期间，不仅对于中小学生为新的 应激情景，对家庭成年成员亦是如此。一方面大 多数家长缺乏一定的家庭教育知识，另一方面 自身尚处于特殊时期的适应情形，未做有效准 备，不合理的应对方式导致家庭亲子关系发生 变化，原有趋恒系统发生震动。由于部分家长过 分关注孩子的学业，对疫期宅家期间的学业期 望有过高要求;忽略亲子陪伴与有效沟通，忽视 孩子的情感诉求，不能满足孩子在疫情期间特 殊情景下的相关需要;且在家长群体中存在竞 争意识、超前学习、唯任务完成形成了亲子冲突 的直接爆发诱因，致使种种冲突现象甚至悲剧 不幸产生。 
"	"[1]郭学东.疫情防控期间家庭亲子冲突成因及对策初探[J].教育实践与研究(C),2020(05):54-56."
年级不同冲突也不同吗		"另一方面家长大多成为学习过程的 监督者，无形中加大了亲子冲突的可能。特别是 一些毕业年级家庭，亲子矛盾、冲突呈高发态 势。 
"	"[1]郭学东.疫情防控期间家庭亲子冲突成因及对策初探[J].教育实践与研究(C),2020(05):54-56."
家庭环境的大小有什么对家庭沟通的影响吗？		"人共处不足百平米的家庭环境之 中，家庭成员不同程度的产生应激反应，亲子矛 盾会在此种情境下放大或者压抑等 
"	"[1]郭学东.疫情防控期间家庭亲子冲突成因及对策初探[J].教育实践与研究(C),2020(05):54-56."
总体概括有什么诱导了家庭冲突？		"庭关系、 邻里关系、亲子之间、社会信息的影响、对疫情 的恐慌等多种情况均成为亲子冲突的释放情 景、诱因或者主导因素。 
"	"[1]郭学东.疫情防控期间家庭亲子冲突成因及对策初探[J].教育实践与研究(C),2020(05):54-56."
高中孩子突然的变化有什么？		"究者发现一些孩子没有办法处理好与父母之间的界限，
比如 说哪些 事情是 需要 父母说了算， 哪些 事情是 孩子 自己可以 说了算。因此 ，这
些事 例引起了研究 者的 注意 ，即在过去（小学 、初 中的发展阶段）孩子 们并没 有
特别明显 的表 现出与 父母争取 权利、 不断划边界 的事情发生， 但似 乎到 了高中阶
段，是发生与父母冲突最多的一个时期。"	"[1]葛虹宇. 高中生亲子心理边界的调查研究[D].哈尔滨师范大学,2019."
孩子成长中建立边界正常吗		"Hartmann （1991）在其著作《 噩梦一噩 梦的心理与生理 》一 书中 写道“界线
的形成 是儿童心理结 构发展的一部分。 一方面是缘于神经 系统 的成熟， 另一 方面
则是由于与 环境交往的结 果，儿童逐 渐学 会了 区分 自我与他 人、 幻想 与现实、梦
幻与清醒、男人与 女人等等 。"	"[1]葛虹宇. 高中生亲子心理边界的调查研究[D].哈尔滨师范大学,2020"
成长中的边界会带来什么问题？		"有些人 起初具 有薄弱的自 我界线 ，对自己的冲 
动与 愿望 非常开 放或 恐慌 ，之后 有可能会变 得猜忌多 疑， 出现妄想 症特 征，而 发 
展成厚实的界线或“性格盔甲”。"	"[1]葛虹宇. 高中生亲子心理边界的调查研究[D].哈尔滨师范大学,2021"
心里边界的定义是什么？		"白晓君( 2 0 0 9 )将心理边界界定为：人与环境交互作用中形成的心理活动限
制线，是人能够实现心理控制功能的“阈限值” ——既能承受相应的刺激，又不出现
异常反应的界线；曾仁俊(2014)将心理边界界定为：“自我存在所需要的空间和 
时间、生理距离和心理距离、主权距离和情感距离、自我意识和自我责任等”；杨
宜音(1999 )认为中国人的自我及其边界特性具有“选择性”(在什么情景下使用什 
么原则与自己所包容的他人以及未包容的他人进行交往)和“动力性”(对边界变化 
的掌握)，并认为关于自我结构及边界划分理论中应注意到边界的扩张或收缩式
的自我的存在；Katingna ( 1945)在《社会的心理边界》中提出心理边界是个体间、 
个体 与环境交互 作用的 固有 沉积物"	"[1]葛虹宇. 高中生亲子心理边界的调查研究[D].哈尔滨师范大学,2022"
心里边界的建立过程是怎么办样的？		"周爱保，袁彦（2017）提出了心理边界的发展性特征。他们认为个体从2-3 
岁开 始形 成与外界的 边界 ，个体 能够区别 出自己和外在 世界的 不同 ，能 够认识 到 
自己的局限性、分 清自我与父母，认 识到自我与父母都是独立 的存在 并接 纳这 样
的存在 ，这 一发 展持 续到青春期 或成 年之后 。通常，儿童的 自我边界 能否健 康发 
展取决于他与母亲的关系是否融洽。也就是说，个体的心理边界不是一蹴而就的，
它是发展变化着的，甚至是终身性的。"	"[1]葛虹宇. 高中生亲子心理边界的调查研究[D].哈尔滨师范大学,2023"
家庭矛盾发生后会有什么负面问题？		"根据 米纽 钦的 描述， 我们可 以认为当个体 的边 界处于僵 化的状 态时 ，个体 具 
有清 晰的自 我边界 ，他/ 她与外界表 现出“ 疏离 型’’ 的特 点，“个 别感”增强 ，与外界
的互动性差，无法从外界获得支持及有效的资源，自我的发展空间小。"	"[1]葛虹宇. 高中生亲子心理边界的调查研究[D].哈尔滨师范大学,2024"
没有划分好亲子心里边界有什么影响？		"当个体 的边 界处于松散 的状 态时 ，个体 自我边界 的清晰 性差 ，表 现的 状态是
与外界的“纠缠”，这种纠缠可以给个体带来归属感，个体的自我被淹没在了环境之 
中。 个体 在这种 边界 松散 的状 态下能够获得较多的支持 和资源，同时也会 获得牵
绊和控制，仍不具备良好的自我发展性。"	"[1]葛虹宇. 高中生亲子心理边界的调查研究[D].哈尔滨师范大学,2025"
良性的亲子沟通是怎么样的？		"在课业方面，“父母一般会尊重我的选择，补课班和补课内容都是我自己选” 
“偶尔陪我写作业，也只是陪着而己。” “功课遇到困难时，我也会问同学，大
部分都会得到解决。 ”当觉得有 课业压 力时我 爆发了 ：我在 爸爸 妈妈 面前哭 了，
（唯一的一次）爸爸妈妈就帮助我保留了合适的补课班，把其他补课班取消了。 
“ 他 们 不 古 板 ”
，
“ 妈 妈 是 爱 开 玩 笑 的 ” 她 会 以 “ 你 是 不 是 有 喜 欢 的 男 生 了 ” 的
方式 来了解女儿的情感 状态，对于妈妈 的好奇 ，她不觉得反感“那就告诉她呗，告诉她喜欢谁”
，两人会对喜欢的人长相、性格特点进行一番讨论。而她则可以 
看到其 他人 的内在部分如聪明、有幽 默感、智慧 ，并喜欢有 内秀的 男生 和公 众人 
物。"	"[1]葛虹宇. 高中生亲子心理边界的调查研究[D].哈尔滨师范大学,2026"
家人的宽松是怎么样的？		"在聊到对未来生活的期待时，她说“父母希望我能到国外去读大学，但是自
己想 考国内一 流大 学的心理学专业 ，父 亲不 太同意，但也 没有 明确反对，毕竟还
有 将 近 三 年 的 时 间 ” “ 他 们 也 能 接 受 ‘ 我 不 会 结 婚 ’ 的 想 法 ， 姥 姥 则 表 示 说 ' 长
大之后就会改变’而不会要求我改变想法”。"	"[1]葛虹宇. 高中生亲子心理边界的调查研究[D].哈尔滨师范大学,2027"
明确的亲子界限是怎么样的？		"她大约在3年级的时候便开始一个人睡（书房），初中一年级时有了完全属
于自己的房间， 父母进到房间之前 会先 敲门， 但一 般会在外 边喊，叫她出来，房
间内卫生需要她自己打扫，爸爸会提供拖地的帮助。“从小到大没有感觉受到侵 
犯”
，当向母亲提出需求（对穿衣品味的审美支持）时，母亲也可以及吋的为其 
提供帮助。“姥姥姥爷也会尊重我的选择”
，在力所能及的情况下，尽量使我满
足。"	"[1]葛虹宇. 高中生亲子心理边界的调查研究[D].哈尔滨师范大学,2028"
良好的家庭关系是怎么样的？		"母亲 不 会因为父亲要出门时的磨蹭而不断的唠叨，
虽会表现无奈，但 可 以用相对平静的方式表达。并且，他 们独立于父母和孩
子（两 人 单独外出约会），在我们多以孩子为 中心的文化 中，两 人 可 以进行
灵 活 的 “ 双 人 舞 ” 式 的 互 动 ， 这 给 孩 子 提 供 了 榜 样 。"	"[1]葛虹宇. 高中生亲子心理边界的调查研究[D].哈尔滨师范大学,2029"
未分化边界的互动模式有什么问题？		"我希望得到妈妈的肯定，但是一直都得不到”、“我经常需要讨好我的母亲”，
于是我请她具体描述她与母亲的互动过程：“我想做一个什么事，可能是和学习 
无关的，妈妈只要认为是不行的，就不允许。她不接受除了学习以外的任何事情，
比如我想参加一个学校的活动，她根本不听我为什么想做，就会直接说‘这个跟
你学习没关系’ ”，
“她会规定我回家的时间，比如我学校5点2 0放学，那么我
在 6 点 之 前 就 必 须 到 家 。 ” 她 对 我 回 家 的 时 间 管 得 “ 特 别 严 ” 、 周 末 也 不 能 跟 同 
学出去玩，过生日也不行，高二的时候过生日，她说可以让同学到家里来吃饭，
于是在 吃饭的 整个过程 中她都在问同学我 有没 有跟哪个 男生 接触的 过多？下午 打
算要去公园玩，其他人都走了，最后我也没去成。"	"[1]葛虹宇. 高中生亲子心理边界的调查研究[D].哈尔滨师范大学,2030"
亲子之间的不谅解是怎么样的？		"“我感 觉跟 妈妈 的战斗 一直都 在持 续”
，在被问 到都会因为什 么事情战斗时，
她说“有的时候觉得妈妈管多了，我就会跟妈妈吵架。”而妈妈也并不示弱，以 
“当我没生过你”、“几天都不打理我”的方式让女儿就范。当女儿承认错误时，
妈妈依然会不依不饶的说到“你不是说你没错吗？现在知道错了”，而深入问其 
原因时，受访者会因为 “断我的生活费”而不得不 向妈妈妥协 。而在内心中 “我
也想赢”的想法却十分强烈。“我现在一点隐私都没有，别人都是自己住，我永
远都 是跟我妈 一起住，她为了 看我，让 我爸跟 我奶 奶住，晚上看着 我学 习，看 没
有声音的电视节目，还吋 不时的检查确认，‘学习 了 嘛，你看书都不翻页’ ”对
妈妈的评价就是“特别强势” “对我管的可严了” “我们家的女王”。"	"[1]葛虹宇. 高中生亲子心理边界的调查研究[D].哈尔滨师范大学,2031"
孩子对于专横的家长有什么想法？		"她说她特别沮丧，并且一直想着用什么方法能自己说了算。 
她目前能想到的办法就是从空间上与母亲的分离，希望“考大学考的远点”。而
作为 家庭 主妇的妈妈 则宣称无论女儿去 哪个 城市 ，她都可以 过去，并且等女儿结
婚以后可 以帮她 带孩 子（但是需要 女儿付 一些 费用 ）， 在与母亲斗智 斗勇的过 程
中，受访者练就了 一 个本领就是她可 以对与妈妈年纪相仿的女性进行察言观
色，以 便很有效的讨好她们，她感觉母亲的控制引起了她的反感，她会想各 
种办法假装服从母亲的强势，佯装服从是她目前的生存策略。母亲逼自己就
范 的 最 强 大 的 武 器 就 是 “ 生 活 费 ”
， 如 果 她 不 屈 从 ， 母 亲 真 的 会 断 她 的 生 活
费，她对自己现在无法独立的生存状态表示无奈。"	"[1]葛虹宇. 高中生亲子心理边界的调查研究[D].哈尔滨师范大学,2032"
心里边界的侵入是怎么样的？		"母亲对其边界
有严重的侵 入，母亲的边界似 乎 也是薄的，因为她无法将自己的意愿约束在
自己管理的范围之 内，而将其外溢到 与女儿 和 先生的互 动 中 。这时不时地引
发 亲子互 动过程中的冲突。然而，生活费（资金支持）作 为父母对未成年子
女提供的间接的给养，却 又成为 了非常有效的打击工具 。"	"[1]葛虹宇. 高中生亲子心理边界的调查研究[D].哈尔滨师范大学,2033"
用钱束缚子女有用吗？		"如果父母在子女不 
断的变 化过程中无法分 化 其 功能，那么本该起到滋养 功能的钱，也 会被父母
用作束缚子女、 与子女发生联结的手段。在这一类的互 动方式中，子女均会 
报告说因为钱而不得不 向父母妥协，压抑似 乎是当下子女能够采取的有效措
施。但 另 一方面就会 使 个 体希望尽早的逃离其 原生家庭的掌控。"	"[1]葛虹宇. 高中生亲子心理边界的调查研究[D].哈尔滨师范大学,2034"
唠叨的例子有什么？		"从 上学开始奶奶就变得唠 叨；初 二 初 三那段时间，
“我特别迷手机，时时处处都玩，奶奶很生气，总是骂我，觉得我不学习，
就 把 我 手 机 摔 了 ” “ 我 感 觉 在 奶 奶 心 里 ， 学 习 是 首 要 大 事 ， 然 后 才 是 身 体 。 ” 
尤 其 是 初 三 初 四 之 后 奶 奶 的 唠 叨 更 加 频 繁 ， “ 啥 都 说 我 ”
，
“ 她 会 经 常 把 之 
前 的 事 拿 出 来 说 ， 如 果 我 不 顺 她 意 ， 她 就 会 说 我 ‘ 白 眼 狼 ’ 、 ‘ 白 养 我 ’ 了 ” 。"	"[1]葛虹宇. 高中生亲子心理边界的调查研究[D].哈尔滨师范大学,2035"
亲人过度越界的问题有什么例子？		"选择高中时，受访者特意选了需要住校的私立学校。刚开始奶奶不同意，
后 来 觉 得 环 境 挺 好 也 同 意 了 。 但 是 “ 奶 奶 给 我 带 到 学 校 的 衣 服 颜 色 都 特 别 深
特 别 深 ， 给 我 打 扮 的 灰 头 土 脸 的 ， 她 担 心 如 果 我 穿 的 好 看 出 来 的 话 会 ‘ 招 ’ 
别 人 ” ，
“ 奶 奶 每 周 周 末 还 都 要 在 送 我 回 学 校 时 到 寝 室 一 圈 一 圈 的 查 看 ” 。 
“ 我 在 家 里 啥 都 说 了 不 算 ， 但 是 上 了 高 中 来 到 学 校 啥 都 说 了 算 ， 想 干 啥 就 干
啥，可 以适当休息，现在只 周末回家，我也没有因为没人管我就不学习了，
总 体 分 数 基 本 挺 理 想 的 ， 我 还 挺 高 兴 的 ”
，
“ 我 现 在 有 发 言 权 了 ， 同 学 能 听 
我点了，在家完全没有发言权，我现在超级不想放假”。"	"[1]葛虹宇. 高中生亲子心理边界的调查研究[D].哈尔滨师范大学,2036"
侵入个人隐私范围是怎么样的？		"“她还是要求我把门开着，吋 不时来看我的情况，手机、 
微 信 、 Q Q 的 密 码 她 都 要 求 知 道 ， 啥 都 干 涉 。 她 担 心 我 扯 别 的不好好学习 。 ” 
平 吋 周 末 ， 奶 奶 会 限 制 受 访 者 外 出 和 同 学 一 起 活 动 ，
“ 一 步 一 步 跟 着 我 ” “ 不 
让 我 跟 外 界 人 接 触 ” 。 对 于 奶 奶 的 做 法 ， 她 说 “ 同 学 们 都 感 觉 太 奇 怪 了 ” 但 
是 说 了 也 没 用 ， 受 访 者 也 只 好 接 受 ： “ 跟 着 就 跟 着 呗 ， 也 是 为 我 好 ” （ 无 奈
和 合 理 化 ） ， “ 从 小 到 大 就 一 直 跟 着 ”
， 当 被 深 入 问 及 上 了 高 中 以 后 还 被 这
么 对 待 的 感 受 是 什 么 时 ， 她 说 “ 以 前 奶 奶 一 说 不 管 我 了 ， 我 会 很 害 怕 ， 现 在
我 偶 尔 会 回 嘴 （ ‘ 不 管 就 不 管 呗 ’ ） ， 奶 奶 多 少 会 有 收 敛 ” “ 奶 奶 平 时 也 不 
太关注我开不开心，不注重我的感受”。"	"[1]葛虹宇. 高中生亲子心理边界的调查研究[D].哈尔滨师范大学,2037"
沟通好处的体现有2什么？		"对爷爷她是这样描述的：“老好人，咋的都行，做饭好吃，他虽然跟奶奶
顶 嘴 ， 但 告 诉 我 不 能 顶 嘴 ” 、 “ 他 会 温 柔 的 说 我 ， 给 我 讲 道 理 ” 。 对 于 与 爷
爷 互 动 的 回 忆 ， 她 的 脸 上 洋 溢 出 一 丝 幸 福 的 微 笑 ， “ 小 时 候 爷 爷 总 带 我 到 处
溜 达 玩 ， 后 来 辞 职 到 国 外 去 帮 爸 爸 忙 ” 。 从 爷 爷 走 后 ， 她 说 “ 感 觉 没 谁 能 理
解 我 ” 、 “ 啥 事 情 都 不 愿 意 说 了 ” 、 “ 害 怕 别 人 说 我 ” 。 爷 爷 支 持 我 上 高 中 
住校，认为可以借此机会，锻炼锻炼。"	"[1]葛虹宇. 高中生亲子心理边界的调查研究[D].哈尔滨师范大学,2038"
